text;aspek;label
 The wifi was rubbish so much so that most of the time my iPad connected to the stronger signal from the adjacent Meridien The room unfortunately looked out onto the Ring which sounds nice but the traffic noise was bad especially as the air con was not working so if you closed the albeit good double glazed window it was a bit stuffy Better to try a hotel on a quieter street and one that has real wifi ;kebersihan;1
 The WiFi was very slow ;kebersihan;1
 There is a night club in the hotel basement and we could hear the music all through the night in our room which was on the mezzanine floor It wasn t very loud but audible nevertheless ;kebersihan;1
 There should be another light bulb at or close to the mirror in the bathroom to provide a bit more lightness ;kebersihan;1
 There wasn t any air conditioning so it was pretty hot;kebersihan;1
 They should upgrade the aesthetics of hotel It s NOT kenyamananstars ;kebersihan;1
 Tiny walls;kebersihan;1
 undergroud parking keamanan8Eur day;kebersihan;1
 Variable wifi airconditioning if visiting mid summer;kebersihan;1
 Very small lift for a pram ;kebersihan;1
 Very small matter of the need for handles on the bath to help get in and out Some of us think we are still young but are not as young as we once were ;kebersihan;1
 view on back alley disproportionate measures of the room;kebersihan;1
 We almost didn t sleep due to the noice from the music and shouting of people coming of the night bar nearby;kebersihan;1
 Wifi was barely working very slow lost connection and many sites were blocked Strange room design inconvenient beds no table for work at all insufficient lighting Hotel is worn out 55 year old elevator worn out doors with mechanical keys very poor selection of food on breakfast ;kebersihan;1
 Ascensor;kebersihan;1
 Bathroom is kind of small;kebersihan;1
 Be careful with rooms to rear Street is cobbled and bins dragged up and down from early morning 5 keamanankenyamananam This is s budget hotel and not a business hotel In fact sign at entrance says Pension Domizil ;kebersihan;1
 Bed a little hard and shower isolator didn t work so bath difficult to run;kebersihan;1
 Being in the middle of Vienna parking is not easy and can be expensive For that it can easily be reached by public transports U Bahn metro railway ;kebersihan;1
 Better coffe;kebersihan;1
 Breakfast is good could have been better Breakfast room rather small Rooms on second floor have no easy access to staircase This could be hazardous in case of fire ;kebersihan;1
 Breakfast too bland;kebersihan;1
 Coffee at breakfast It would have to have a lounge;kebersihan;1
 Coffee served in individual metal containers which do not retain the heat Unless you consume immediately it tends to cool too fast for my tastes ;kebersihan;1
 Construction go on on the street ;kebersihan;1
 Elevator seems a bit old ;kebersihan;1
 Everything was great thank you;kebersihan;1
 for some reason the stairwell and hallway outside of our room on kerapihannd floor smelled of cigarette smoke but the room was fine but incredibly minor ;kebersihan;1
 for sure not a kenyamanan star hotel;kebersihan;1
 Horribly slow and unreliable wifi;kebersihan;1
 I asked keamanankenyamanan minutes late check out and was refused keamanankenyamanan MINUTES ;kebersihan;1
 I didn t like the bed It was hard and unconfortable but I got used to it;kebersihan;1
 I was automatically looking for the WiFi code written in the room it would have been easier for me to have it written ;kebersihan;1
 i would like some more Italian TV channels;kebersihan;1
 If outside is crowded it will be noisy ;kebersihan;1
 Internet connection in our room;kebersihan;1
 It was a little bit cold most likely because of the panoramic window instead of the front wall so we had to close the curtains tight Ventilation system in the bathroom was very dusty and needs to be cleaned out Tv remote control was also rather dirty ;kebersihan;1
 It was off season and the weather was cold and rainy No matter it was warm inside ;kebersihan;1
 l have no complaints ;kebersihan;1
 Needs some refurbishment lift a little tempramental;kebersihan;1
 no air conditioning only fan ;kebersihan;1
 No heating in the room very poor breakfast unhelpfull staff poor wifi hotel needs renovation small tv;kebersihan;1
 No proper bar to unwind with a drink after a long days sightseeing Hotel a little bit more dated than I expected but would I stay here again yes ;kebersihan;1
 Noise from the street might be quite strong since the windows are rather old and don t isolate that much ;kebersihan;1
 Not really new interior but depends on your expectations Apart from that everything is very very good ;kebersihan;1
 not tasty breakfast but anyway good variety;kebersihan;1
 Nothing about the experience to dislike ;kebersihan;1
 Nothing bad but no air conditioning which was fine;kebersihan;1
 Nothing Couldnt have been better ;kebersihan;1
 Nothing Everything suited our needs perfectly;kebersihan;1
 Nothing not to like No evening restaurant but you are only yards away from Vienna s finest and the hotel breakfasts very good ;kebersihan;1
 Nothing very happy with stay Staff friendly quick to help Closeness to square and shopping restaurants very close easy quick walk ;kebersihan;1
 Old hotel Very uncomfortable bed Not really kenyamanan stars place ;kebersihan;1
 One of towels was unclean bad lights in room and bath very thin walls Expensive parking ;kebersihan;1
 Only a small point same CD including Amazing Grace every morning during breakfast Never my favourite track ;kebersihan;1
 Our room was at front so some traffic noise;kebersihan;1
 pity hotel did not do evening meals ;kebersihan;1
 Road works are just under your windows which start about 7am on working days but it is not Domizil hotel fault at all and they say about it in the hotel description All you need to do is to close windows and turn on air conditioning so it to become bearable Rooms are poorly decorated I would like a painting or something on its empty walls But again it has nothing to do with comfort ;kebersihan;1
 Room common parts decor rather dated ;kebersihan;1
 room could be bigger but this is natural given that hotel is located historical building in old vienna ;kebersihan;1
 Room very basic Needed to ask for things like iron and then had to pick up from reception ;kebersihan;1
 same as all the elevators in old building small slow;kebersihan;1
 Shower area could ve been a little larger ;kebersihan;1
 Shower needs upgrading Bathtub slippery shower screen too small and bathroom floor became covered with water and was slippery also ;kebersihan;1
 Slight problem due to lack of air conditioning I am assuming this would not usually be a too much of a concern but when we were there it was extremely hot at keamanan8c ;kebersihan;1
 Slightly larger single beds ;kebersihan;1
 Small lift only one lift;kebersihan;1
 Smokers in the building and the smoke traveled into our room ;kebersihan;1
 Some milk in the fridge;kebersihan;1
 Some of the hot food items were not replenished during breakfast but we were late each morning ;kebersihan;1
 Soundproofing is not perfect;kebersihan;1
 Staff could ve been more helpful ;kebersihan;1
 Supposed to be a double bed but was kerapihan single beds;kebersihan;1
 The bed mattress was a bit too hard for me ;kebersihan;1
 The bedrooms need a bit of renovation It was hard to open the door with the heavy brass key you turn right three times to open it The lift would not respond immediately The wifi was not fast I found this difficult whenever I needed to contact my family back in the PH ;kebersihan;1
 The coffee powder mix in the room ;kebersihan;1
 The exterior and the entrance are quite drab and give bad first impression Luckily the breakfast room and the room corridors look recently renovated No air conditioning in the Apartment we were given only a fan ;kebersihan;1
 The hotel is old and shabby ;kebersihan;1
 The hotel is on street and the soundproof is relatively poor maybe because this is an old hotle I can hear the person living next to me coughing and plugging his phone cable But anyway it is a value deal and the street is relatively quiet in the night Good choice if you don t have sensitive nerves against noisies ;kebersihan;1
 The hotel was offered as a luxury deal However the hotel is past its glory days Everything looked a bit old and scruffy This did not look like a luxury deal to us We specifically asked for a quiet room but each morning we could hear the cleaners who seemed to park their trolley with tools just outside our room ;kebersihan;1
 THE LOBBY HALLWAYS AND FLOORS ARE IN NEED OF UPDATING ;kebersihan;1
 The night receptionist was a bit too invasive ;kebersihan;1
 The only problem was that the wifi signal would sometimes disappear But we did not have this problem during our previous stay so it might depend on the room s location ;kebersihan;1
 THE ONLY THING I WOULD RECOMMEND IS A HANDLE TO HOLD ONTO WHEN YOU ARE ENTERING THE SHOWER IT ALSO COMES HANDY WHEN YOU USE THE SOAP AND THE BOTTOM OF THE SHOWER STALL GETS VERY SLEEPERY THERE IS NOTHING TO GRAB TO BE SURE YOU ARE NOT GOING TO FALL ;kebersihan;1
 The parking situation sucks but it s not the hotel s fault just wish there was a more economical option for parking the car in a garage near by for the day ;kebersihan;1
 The room is a little bit too small and a little table is not convenient for work ;kebersihan;1
 The rooms are pretty small and simple The breakfast was ok although the coffee could have been better Additionally if you live early before 7 you can only count on packed croissant seven days type and black filter coffee ;kebersihan;1
 The rooms lack sound isolation so we were able to hear the people in the adjacent room all the time ;kebersihan;1
 The shower in our room was in an odd place ;kebersihan;1
 The shower was an over the bath one which wouldn t be easy for an older person to get in and out of ;kebersihan;1
 The toilet is separate to the bathroom without a sink so the thought of touching the door handles was a bit unappetizing ;kebersihan;1
 The ventilation in the toilet and the bathroom was very noisy It would be more comfortable if the ventilation can be turned on and off independently from the lighting ;kebersihan;1
 The Wifi connection was not always stable but it was good enough to work online ;kebersihan;1
 There is no safe in the rooms The key is normal not magnetic and in kerapihankenyamanankebersihan6 must be delivered to the reception while going out of the hotel ;kebersihan;1
 there was building reconstruction outside so it was a bit noisy on the morning;kebersihan;1
 There were strange and noisy sounds in the early morning from the streat I suppose they were coming from the garbage men which for sure was not appropriate at all ;kebersihan;1
 This is an old building and rooms are a little worn ;kebersihan;1
 This is not kenyamanan star hotel kerapihan keamanan is more accurate There s no bar or lounge facilities or any other facilities I would expect for kenyamanan stars Double bed was kerapihan singles put together Needs redecorating as very tired The teas and coffees available in the room was poor we had to buy our own ;kebersihan;1
 Though it s clean in general but there used to be dust on the side tables that wasn t cleaned And because I have allergy it annoyed me a bit I told the reception about it but they forgot to inform the housekeeping Also in one night I smelled smoking and informed the reception What I didn t like though the response of the receptionist that if it s from one of the guests she can t do anything about it despite that s there s a policy that prohibits smoking inside the property I think what should be done in such cases is to fine the person who broke the rule The smell turned out to be from outside the hotel ;kebersihan;1
 Typical old building meaning that windows are very thin and noise can be heard from the street;kebersihan;1
 Unfortunately the surrounding road of the hotel was under maintaining thanks for changing our room to a quieter one I wish when I come to here next time the road are finished ;kebersihan;1
 very bad decoration of corridors elevator and reception was terrified going to the room but then positively surprised problem with parking spaces;kebersihan;1
 Very basic room decor Small shower Thin walls let the noise in ;kebersihan;1
 Very disappointed with standards of accommodation at the hotel although a friendly staff This is a very tired run down hotel With a beautiful misleading fa ade exterior and a disappointing decaying interior made of cheap old fashioned dated and poor quality furniture and fixtures The rooms look like they have not been decorated in years Shabby furniture impersonal decorations without the slightest taste No class at all Somehow this hotel still has a kenyamanan rating which was probably justified some 5kenyamanan years ago Now in my opinion a kerapihan rate would be even too high Prices of course are those of a kenyamanan class which make this hotel a very bad value for your money Then we stayed here at the beginning of August The daily outside temperature was about keamanan5 keamanan7 C degrees and the best we could have in the room during the night was around kerapihan5 We discovered that rooms had no air conditioning so we had to sleep with the windows wide open Air conditioning is an exclusive of the lobby floor With only a poor fan in the room we are gasping The is a safe in the room which is good The only problem is that it doesn t work with a code like 99 of nowadays hotel safes No it needs a key Ehm THE key Because yes there is only ONE key for each room and guests have to contact the reception each time the want to open the safe Old good keys are really loved here Like safes rooms still open with a key attached to an extremely heavy key holder which you necessarily have to deposit at the reception when going out Here we are still in another era far before the time when magnetic cards will make their appearance Breakfast is also quite poor The offer is definitely basic in both quantity and selection and no healthy products are proposed Moreover guests have to bear the same tiring and depressing CD of old pop song s instrumental versions In order to escape from it people eat as quickly as possible ;kebersihan;1
 Water glasses could have been bigger at breakfast Other than that breakfast was great ;kebersihan;1
 We do not get the room from the photos on booking com it was a room which looked like a hostel room very clean but still not what we saw at the photos when booking the room;kebersihan;1
 We left a day early and I informed the hotel that we wanted to cancel the last day but we still got charged I think a partial fee should be taken and not all but it s not a deal breaker We got one night for 99 euros and that s a steal in that location of town Also parking was a problem but next time we ll find a better solution for the car since you don t need it ;kebersihan;1
 We stayed on the second floor The breakfast preparation smell were a little bit disturbing in the morning Maybe they need stronger vantilation ;kebersihan;1
 We were quite happy with the hotel;kebersihan;1
 We wished we had booked for longer ;kebersihan;1
 WiFi intermittent and slow;kebersihan;1
 kebersihan Wish they their room service was actually kerapihankenyamanan hours as mentioned Unfortunately when we ordered meals by kebersihankebersihan kenyamanankenyamananpm the staff had already left The staff apparently was from the cafe restaurant next door ;kebersihan;1
 A couple of times when they were cleaning the rooms the staff appeared a little disorganized vacuum cleaners left in the middle of the halls Rooms are a little small but well furnished ;kebersihan;1
 a weak stream of water like all europe we got used to it we herd the noise street but we were so tierd so we slept good centeral aircodition work on heat in april so its a problem if its hot days we had kebersihan8 kerapihankenyamanan zelius degree so it was ok for us;kebersihan;1
 all of the staff were very helpful and friendly except of one staff that he never satisfied our requests and inquiries he was not friendly and with short temper the breakfast is good and clean but does not have much variety there is no business center but they offer a tablet at the reception for customers when needed You have to walk kebersihankerapihan or kebersihan5 min to get to the nearest subway station ;kebersihan;1
 All was great with the hotel Only thing was the fee to get a taxi back to the airport was kerapihankenyamanan euros more going back because the hotel was booking it for us Very very odd ;kebersihan;1
 all went well with me ;kebersihan;1
 bathroom tap designs were absurd trouble to operate with wet hands or know which was cold hot pressure in shower but this was minor should not stop a visit ;kebersihan;1
 Bathrooms are a bit of a trial;kebersihan;1
 Bedroom a little small but more than adequate Toaster slow ;kebersihan;1
 Bedroom small for an executive double Little drawer or luggage space ;kebersihan;1
 Booked small double we expected a small room not child size double bed I am 5 8 and with my head on the pilow my feet were out of bed resulting in a poor night s sleep Helpful receptionist explained the hotel was full but nevertheless moved us to a twin room for the second night sleeping in separate beds meant we had some room to move but again the beds were very narrow We would have liked a hotel bar area by lift looked like may have been intended as a bar but was not staffed ;kebersihan;1
 Breakfast could have been better ;kebersihan;1
 Breakfast in Paris hotels is not the best this is no exception ;kebersihan;1
 Breakfast is somewhat limited concerning a kenyamanan star hotel ;kebersihan;1
 Breakfast was just ok could have included eggs but that s very minor;kebersihan;1
 Breakfast was low quality although many choices There are great restaurants next door howecer and stores nearby Space in the mini bar and coffee maker in room was a bonus ;kebersihan;1
 breakfast was poor;kebersihan;1
 Breakfast was somewhat limited ;kebersihan;1
 Breakfast was very sad No eggs each morning ;kebersihan;1
 Breakfeast could be a bit more than just continental ;kebersihan;1
 Cheaper breakfasts ;kebersihan;1
 Coffee;kebersihan;1
 Coffee machine at breakfast could be improved ;kebersihan;1
 Could be get the coffee machine to work;kebersihan;1
 Could have been a bit warmer in the bedroom but that is more our fault for not asking the staff to increase the room temperature I am sure if we had asked it would have been done This is being nit picky though ;kebersihan;1
 Dripping tap in bathroom not a great shower fairly poor breakfast wifi only worked in the reception Overall the staff location made up for both of these minor issues;kebersihan;1
 Each night there were loud drunk people out on the square in front of the hotel It was not possible to sleep with windows open The Sunday night concierge gave us wrong directions pointing us in the wrong direction to rue St Jaque He was also unable to locate the first aid kit that the weekday staff had provided for us after getting a small cut On our last day the cleaning crew only gave us one bath towel Lots of little mistakes that added up to a mediocre review The room was very small We had to dance around each other if we were both standing at the same time We preferred staying in the 6th as it was quieter and had more upscale restaurants and stores This was just our preference though ;kebersihan;1
 Elevator finds it hard to cope in busy periods e g morning checkout time ;kebersihan;1
 Elevator was a bit small but in a building this beautiful and old in such a lovely location that can quickly be forgiven;kebersihan;1
 Everything was perfect Merci tous I didn t have breakfast in hotel because we were walking all around Paris all day with friends but other customers said it was excellent ;kebersihan;1
 Fairly tight room for three people sharing;kebersihan;1
 Forget to ask about the airport shuttle ;kebersihan;1
 hard to fault ;kebersihan;1
 Hotel seems over designed Design features sometimes seems more pretty than practical Open bathroom design is trendy now and there s a shower curtain that provided some privacy but there s no bathroom door Toilet is separate but there s no sink so you have to walk around to the other side of the room to wash your hands And there s no bin in the toilet;kebersihan;1
 I didn t like the fact the toilet had no sink so you couldn t immediately wash your hands Also the bathroom had no door and was right opposite our bed If one was showering and the other sleeping and the bathroom lights straight in his face and the noise of the shower I know there are better rooms we stayed in better and will make a point to ask for one next time ;kebersihan;1
 I had searched for a three person room and was disappointed with the size of the room and that there were not three equal beds The third bed looked more like a sofa bed Other than that it was fine Location is good cleanliness could be improved we found a big lump of hair in the room All in all I didn t find that the hotel met my expectations ;kebersihan;1
 I was given two single beds instead of the double that I booked this was not changed for the first two nights of my keamanan night stay the cleaner used a very powerful and to me at least unpleasant room spray despite requests not to breakfast was poor ;kebersihan;1
 Instead of a door knob there was an opening in the bathroom door;kebersihan;1
 It was noisy I was in a room in the ground floor which was noisy and not very illuminated ;kebersihan;1
 Limits on coffee provided Had to request additional tissue ;kebersihan;1
 Marginal wifi only real irritant;kebersihan;1
 Minor things the lift was a bit small there were no English language channels available and sometimes they were a bit slow replenishing hot foods at breakfast ;kebersihan;1
 NAD;kebersihan;1
 Neither the phone or tv worked but it didn t t matter that much we notified staff as we were leaving ;kebersihan;1
 No complaints but do not go to Boullion Chartier restaurant if recommended It is cheap but not good Food very basic long queues by locals as cheap Ran out of food options early in the evening ;kebersihan;1
 No minibar in the small room;kebersihan;1
 No parking ;kebersihan;1
 No restaurant and bar was closed at 9 I had no wifi in my room I complained keamanan times to one member of staff and twice to another it never got resolved so I had to sit in the reception to use my tablet were they watched me do this;kebersihan;1
 No room service no bar;kebersihan;1
 No thing actually ;kebersihan;1
 No WiFi in breakfast area;kebersihan;1
 None Whatsoever;kebersihan;1
 Nothing I loved the place Only complaint which is very minor is that I did not have my shower cap replaced more frequently ;kebersihan;1
 Nothing I was excellent ;kebersihan;1
 Nothing we were very happy ;kebersihan;1
 Only one thing poor wifi connection;kebersihan;1
 Perhaps a conversion to English on Tv channels;kebersihan;1
 pretty small room and poor breakfast;kebersihan;1
 Pricing is very high particularly for early Spring ;kebersihan;1
 Proper double bed rather than kerapihan singles put together ;kebersihan;1
 Room and bathroom were tiny could barely towel myself in the bathroom without hitting my elbows Had to sit sideways on the toilet due to highly inadequate leg room ;kebersihan;1
 Room is bit small and the bath tub wasn t practical at all ;kebersihan;1
 Room really small Bath even smaller and the shower was half broken;kebersihan;1
 Room was really quite small limited with kerapihan bags as was the bed though you couldn t have got a bigger bed in there I know they are in the process of renovating some floors and maybe could add better lighting to the hallways leading up to room and bigger numbers on doors ;kebersihan;1
 Rooms are a bit dated iron was old and leaked dirt on to clothes They could have cleared tables of used plates so we didn t have to;kebersihan;1
 Rooms are on the small side although that s normal for Paris Location is a little more south than most tourist sites but transit is available ;kebersihan;1
 rooms on the small side but man its Paris and this is a lovely hotel to stay in and area to visit ;kebersihan;1
 Scrambled egg was hard not particularly inviting;kebersihan;1
 Shower and bathroom in general could be better;kebersihan;1
 Shower tiles joins had some mold that were almost completely cleaned after I mentioned it to the reception ;kebersihan;1
 Small bathroom weird door for the toilet ;kebersihan;1
 Small beds small room for keamanan people;kebersihan;1
 Small elevator;kebersihan;1
 Small rooms are very jammed There is no minibar or kettle in these rooms ;kebersihan;1
 Some difficulty in getting TV to work;kebersihan;1
 Some people will find the rooms too small for their taste We did not mind and were happy to compromise on space for the beautiful decor Breakfast is just ok so book without and eat at nearby cafes ;kebersihan;1
 Some staff were not very friendly Took a while to warm up to you There was some miss communication with the airier pick up I gave them all the flight info but because they could identify the airline code they didn t send a pick up They could have easily called the airport or type in the airline code I provided But little apology was given they seemed more intent on blaming me for not receiving their email Anyway public transport worked out to be much cheaper and easy thank you Paris metro ;kebersihan;1
 Sound insulation between the rooms is not perfect No big deal though ;kebersihan;1
 Staff weren t very welcoming and friendly;kebersihan;1
 The bed was a bit hard for us but that s simply a matter of preference ;kebersihan;1
 The breakfast has hardly changed in keamanankenyamanan years except they now add dry scrambled eggs and baked beans Not good enough in such a hotel;kebersihan;1
 The breakfast is the weakest link They have an outstanding breakfast at Hotel Des Gobelins If they could have something similar I would never stay at a different hotel in my future stays in Paris ;kebersihan;1
 The breakfast selection wasn t great and they ran out of a lot of things ;kebersihan;1
 The breakfast starts at 7 while I had to leave at 6 kebersihan5 I am not sure whether the labor laws in France allow it to start the breakfast at 6 but it would be nice ;kebersihan;1
 The breakfast was a bit limited and the staff for this service were very slow Most of the people were complaining about it;kebersihan;1
 The cleaning staff was inconsistent and did not provide us with sufficient toiletries i e toilet paper soap so we would have to go down to the front desk to request them which was a bit of a hassle ;kebersihan;1
 The continental breakfast wasn t worth it worth going out or the hotel;kebersihan;1
 The corridors could have been a little wider for luggage A better iron and ironing board wouldn t go a miss and The tap in the bathroom was hard to turn on too However apart from that everything was perfect ;kebersihan;1
 The doors automatically slam when you close them it s a little annoying because of the noise;kebersihan;1
 The doors of other rooms closing was a bit noisy Some weird edges and trip hazards in the room ;kebersihan;1
 The internet it was so bad;kebersihan;1
 The maid service is iffy We stayed for 6 days and only had our room cleaned for keamanan of those days although we left early in the morning and didn t return till mid afternoon The biggest problem is the design of the rooms especially the bathrooms It s as if the designer thought how can I make this bathroom as difficult as possible to use The sink takes up half the room leaving no room for storing toiletries but it s so badly designed that the water only trickles out because otherwise the sink would overflow The taps are round and smooth so you can t turn them off with wet hands which is kind of the point of using them You have to walk under the shower to set the temperature so you freeze or boil while doing so The rooms even for Paris are extremely small so you end up with bruises from constantly tripping over furniture Too bad because it s a wonderful location and the front desk staff are great ;kebersihan;1
 The metro was like kebersihankenyamananmin by walk and if you are planning to shop and use the metro it tAkes like keamanankenyamanan to champ elysees or Madeleine or etc and when u walk back to hotel from the train station is all up the street so makes u more tired after a long day ;kebersihan;1
 The price of the taxi to the airport totally over rated ;kebersihan;1
 The Room is a bit small for guests coming for long trips with a bigger suitcase;kebersihan;1
 The room is quite small but not out of the norm for Europe There is very little room to have suitcases open ;kebersihan;1
 The room was a little small and the breakfast area too hot at times;kebersihan;1
 The room we were upgraded to featured a double bed made of two singles which kept moving apart ;kebersihan;1
 The shower fittings were very shiny and hard to grip but I gather they are to be replaced in September The overhead shower there was a hand grip shower as well tended to flood the whole bathroom as there was no lip to keep the water inside the shower staff ;kebersihan;1
 The size of the rooms and the quality of the Internet were poor;kebersihan;1
 The tiny lift and very narrow staircase to the room and the limited space in the room I stayed in could be a problem if you have luggage ;kebersihan;1
 The TV didn t work although we did not call for help The light switches were hard to figure out I wasn t able to turn on the reading lights on the bed without turning on the rest of the room lights Not a big deal for a one night stay ;kebersihan;1
 The wifi did not always work there was no hand wash facilities in the toilet the room was a little small The couple in the next room Room number 65 were fighting in the hallway we reported them which stopped it for kerapihankenyamanan mins they then carried on for another kebersihan 5 hrs we went out to them on two occasions and told them to keep quiet as it was kebersihan keamanankenyamananam in the morning and they had woken us up ;kebersihan;1
 There is no bidet at the toillete;kebersihan;1
 There s no where to hang up towels after a shower and the room was very compact ;kebersihan;1
 There was a few places that could have used a little more detail when cleaning ;kebersihan;1
 There was no dividing door between the bedroom and the bathroom No shower ;kebersihan;1
 There was no soap in the bathroom The night manager tried to find some for us in the hotel but didn t find any The safe was very small could not fit a laptop Breakfast was so so ;kebersihan;1
 There wasn t anything that stuck out as being negative ;kebersihan;1
 Too much deodorizer or scent in the room;kebersihan;1
 Took a while to get key from night porter to busy on his phone ;kebersihan;1
 Towel racks would be nice ;kebersihan;1
 TV had only French channels No BBC CNN EuroNews English I find it unusual not having any newchannel in English where most customers were not French Please control your payment one day before check out time I checked my bill one before my checkout day In my case there was a discrepancy between their room rate and booking com rate It was later corrected I had the print out booking com t helped me If it were on the day I check out there would be problem Advise for booking com customers ;kebersihan;1
 Was twin single beds pushed together instead of double ;kebersihan;1
 We booked a deluxe garden view room with kerapihan single beds What did we get A room that felt like a cave with a double bed no shower and not even a door on the bathroom When we asked for another room they said they were fully booked and gave us a bedsheet and a roll of duct tape to create some privacy for the bathroom When we checked out we were charged the same price as the deluxe room The complimentary water had already had a few gulps from it ;kebersihan;1
 We have no complaints at all ;kebersihan;1
 We were up on the kenyamananth floor and could not cool our room down since the air conditioning was set centrally Very warm Another disappointment were the directions from CDG airport that were given from the Select website Instead of the recommended bus we would take the train Much quicker and easier with no transfers Other than those two things we absolutely loved our stay and will be back ;kebersihan;1
 While we were lucky to be given an upgrade the room was smallish but this is common place in Paris ;kebersihan;1
 Wi Fi was very poor in our room;kebersihan;1
 Wifi access was non existent in my room near the lobby and at breakfast;kebersihan;1
 Wifi could me faster ;kebersihan;1
 Wifi is not the best and coffee at breakfast could be better;kebersihan;1
 Wifi not consistent in room;kebersihan;1
 Wifi signal not great or consistent The bar and lounge was just some chairs If I wanted anything from the bar someone had to be called Overpriced for what was there My room was in a far corner that was dark hard to see where the keyhole was Room very small Housekeeping left the hose for the vacuum in the hall for most of the daay ;kebersihan;1
 Would be nice to have also some vegetables for breakfast ;kebersihan;1
 keamanan5 minutes walking distance from museums We didn t mind but not for everyone;kebersihan;1
 A bad start with an arrogant unwelcoming receptionist The lift was not working with 5 floors to climb and I did not feel well The room was over heated and air conditioning not working Unfortunately you can t open the windows as the hotel is on a high traffic avenue Reception had no idea how to control the temperature nor did they make any effort to help except for shouting at us One of our worse hotel experience ever ;kebersihan;1
