,Page_url,nama-responden,date-stay,title,text,date-post,rev
10,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or1025-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"A first time visit to the Le Meridien. The rooms are generously large, with good lagoon view, spacious walk-in wardrobe, separate long bath and shower facilities. The bed and pillows are most comfortable for a good night sleep. The gym was well equipped and open 24 hours. The breakfast was a good spread. Overall, the service level was good and attentive. However, the room air-con controls could be more responsive and somehow the room to room telephone connection was not working. The location of the hotel is some distance from the beachfront.", ,Positive
11,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or825-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"A friend and I stayed here for 8 nights on a Luxury Escapes package that had many great inclusions such as meals, massage and driver guide included. We opted for the lagoon pool access upgrade which was great to be able to take a dip in the pool right from our back verandah/room. The room was spacious, clean, all staff were super friendly, great service, food was fantastic, huge buffet breakfast variety &amp; good value (for an Aussie). Cant fault anything really, perfect if you want to just relax at the resort, also an ok distance to go by taxi to Kuta, Ubud, Seminyak- try to avoid travelling on the road between 4-5.30pm, traffic kaos! Spa treatments were amazing!!! This hotel-resort whether on the package or not is highly recommended! Service was fantastic, a wonderful stay!", ,Positive
12,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or300-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"A great place to enjoy luxurious &amp; clean room, friendly staff and a good breakfast. Its a place for you to escape from your daily routine, near to jimbaran local food and Jimbaran beach. Thanks for the great experience Le Meridien Jimbaran, Bali, surely will be on our next trip plan.", ,Positive
13,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or990-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,wishiwasawaytoday,Date of stay: September 2013,Lovely staff! Pitty about bad finishing in rooms.,"A little bit perplexed on how to describe the feeling i have regarding my visit in this hotel. I think unsatisfied is the right term. The one thing i have to commend is on the effort exerted by the staff to make our stay satisfactory, but to be fair there is some things that need to be pointed out. Pros: 1. The hotel rooms are great and chic, definitely something to look forward to. For the first three days we had the lagoon access room followed by another three days in the lagoon view rooms. 2. Hotel grounds is covered with lush vegetation, which was very enjoyable. 3. Getting escorts on the buggies was fun, especially with the little ones. Cons: 1. There is NO beach access to this hotel, however you are promised beach access on beach club where le meridian has made; …",wishiwasawaytoday wrote a review Jan 2014,Negative
14,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or785-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"A lovely hotel at a lovely place in a lovely island. Le Meridien Jimbaran Hotel is truly a great place to stay while being in Bali. It is situated in the Jimbaran area , just by the beach and has a great view to the Jimbaran Bay and the ocean. The hotel facilities are clean, the food is delicious and variable. The swimming pool is so beautiful. The people working there are so so so much nice and helpful. The room was very spacious, the view from the balcony was so nice, internet connection throughout entire area is strong and worked just fine. We had a classic room reservation but the hotel staff upgraded the room with an Aqua Suit with a Lagoon view for free! That's right - the upgrade was for FREE. We had a transfer to the airport late in the evening and the hotel staff even; …", ,Positive
15,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or850-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"A male friend and I were lucky enough to stay at the Le Meridien for a portion of our 10 day getaway. We originally had two rooms booked for a friend to join us but he had to cancel his trip. The hotel were so accommodating with the change in our plans and kindly cancelled one of the rooms - although assuming we were a couple and wanted a King bedded room - A bit of a laugh for us as it seemed to be the consensus in Bali - ""honeymoon special!"" The staff here are amazing. The japanese girl on reception (I can't remember her name) and Pande in the rooftop bar were exceptional and made us laugh. The rooms were incredibly spacious and so well designed. Extremely modern and luxurious! The hotel even organised a driver for us for the day who took us to Ubud and he was wonderful; …", ,Positive
16,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or935-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,chinesemafia,Date of stay: April 2014,Happy with our decision,"A very well managed hotel! All staff from the bellboys,checked in, restaurants and pool attendances were great, same level of high service. If you want a quiet pool, fast service in ordering food at the pool, this is the hotel. Great kids club,too,but little things could be better: hat or gimmick for the kids. Mami was great! Breakfast was great, sushi bar was awesome, Indian food were also fab. Definitely will come back to see if the service remain the same if not better.",chinesemafia wrote a review May 2014,Positive
17,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or20-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"Absolutely love this hotel! The rooms are so spacious and luxurious, and the lagoon (pool) access from our balcony was awesome. The staff are so friendly and helpful, Smiley kept us entertained our whole stay. We will be coming back for sure!", ,Positive
18,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or850-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Fi-W-Scotland,Date of stay: October 2014,Relaxing stay. Perfect for airport,"After a shaky start - be careful of the BRG .. It is a sham!! Only stay here if you get a good rate - not worth the rack rate. We ( 2 Adults and 4 Kids )only stayed One Night for the Jimbaran Lantern Festival and that was enough.. The Entrance with the drive up the Lobby had was exciting .. The Entrance had a ""wow"" not a ""WOW"" factor and that was about it.. Lacked atmosphere... Check In and Check Out was a breeze and the FO Manager / Guest Relations Manager on Check Out was extremely attentive. Classic Rooms : Had everything you needed .. Can not really fault the rooms... Clean and Comfortable.. No View ... Kids Klub - Kids loved it - and wanted to go back the next day.. Kiddies Pool at the Kids Club - but a parent /adult had to be there if they wanted to use it - which; …",Fi-W-Scotland wrote a review Oct 2014,Negative
19,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or135-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Marine H,Date of stay: September 2018,A wonderful stay,"After booking on the app I was double billed for 2 nights. 3 fone calls later told they are working on it. I requested to speak with a manager, nothing. Eventually fixed 3 days. On landing in Bali a phone called saying a car would pick me up. Which it did. But on arrival tried to charge me. Again after much stress resolved. Then asked as a life time member with almost 5,000 nights at SPG I was asked if I wanted points on checkin or breakfast, said as lifetime I get breakfast, never received the points. Food is minimal at breakfast, elevator button could not be pushed, Internet is slow, slow slow and all in all a most disappointing stay ever. If you are considering Nali please give this property a miss you will thank me.",Marine H wrote a review Sep 2018,Negative
20,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or140-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Sas M,Date of stay: August 2018,Fails on many counts,After reading a fair few negative reviews I was a little hesitant about our stay at the Le Meridien. First impressions were good. Lovely open reception area and extremely kind and friendly staff. We had 2 rooms but the hotel were unable to accommodate interconnecting rooms. We ended up being 6 rooms away from our teenage boys which was far from ideal. Given our first morning we experienced a 5.2 earthquake I needed to have a room closet to my boys. However the next day we were able to move rooms to the room next door which was perfect. We had been given an upgrade for our inconvenience which was gratefully received and the room on the surface wad great. It was big. It had direct access to the pool however the finer detail needed some attention. Thin and freyed towels really; …,Sas M wrote a review Sep 2018,Positive
21,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or860-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Sab C,Date of stay: September 2014,Very good,"After spending multiple nights in Bali at other hotels, the quality of this hotel was definitely inline with the price, but should not be in the same five star category as the St.Regis and Four Seasons. The pictures online look awesome....the photographer did a great job as this isn't a true representation of the facility. Fairly simple hotel, basic room and amenities and overall a little rough around the edges. Staff tried hard and were friendly; however, this was just not the experience we were looking for on our honeymoon. A rooster woke us up each day at 4am in the morning. There is construction going on particularly around the pool which didn't make it very inviting. Short distance from the beach where we had an amazing seafood dinner right in front of the waves.",Sab C wrote a review Oct 2014,Positive
22,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"After spending the first 2 nights in Novotel Bali Benoa, we moved to Le Meridien Bali Jimbaran and stayed there for 2 nights (Dec. 26~28, 2020). Check-in was easy and efficient. After I got the room key, one of staffs (Ms. Dewi) escorted me to our room (Room # 123; Aqua Studio Suite/Lagoon access) which was located in the ground floor. Our room was spacious : It was clean, nicely designed and well maintained. We loved our room's design and the kids love the space in the room. It has balcony in the back as well as lagoon access. They also decorated the bathtub with red rose all over as we celebrated our wedding anniversary during this trip (thanks to Ms. Tri and team for giving us such a nice surprise). Breakfast in the morning was excellent although the available selections; were fairly limited but they were of excellent quality. There is an access door located near the restaurant to go to the Jimbaran Beach passing by rows of beachfront seafood restaurants in the back of the hotel (walking distance +/- 5 minutes to the beach). Overall, despite the minor issue (breakfast selection), we had an excellent stay in Le Meridien Bali Jimbaran (a lot better than we originally expected). For this reason, I personally give them a solid 4 stars' hotel and I strongly recommend this hotel property to everyone who is looking for quality hotel accommodation during their next visits in Bali.; …", ,Positive
23,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"After spending the first 2 nights in Novotel Bali Benoa, we moved to Le Meridien Bali Jimbaran and stayed there for 2 nights (Dec. 26~28, 2020). Check-in was easy and efficient. After I got the room key, one of staffs (Ms. Dewi) escorted me to our room (Room # 123; Aqua Studio Suite/Lagoon access) which was located in the ground floor. Our room was spacious : It was clean, nicely designed and well maintained. We loved our room's design and the kids love the space in the room. It has balcony in the back as well as lagoon access. They also decorated the bathtub with red rose all over as we celebrated our wedding anniversary during this trip (thanks to Ms. Tri and team for giving us such a nice surprise). Breakfast in the morning was excellent although the available selections; were fairly limited but they were of excellent quality. There is an access door located near the restaurant to go to the Jimbaran Beach passing by rows of beachfront seafood restaurants in the back of the hotel (walking distance +/- 5 minutes to the beach). Overall, despite the minor issue (breakfast selection), we had an excellent stay in Le Meridien Bali Jimbaran (a lot better than we originally expected). For this reason, I personally give them a solid 4 stars' hotel and I strongly recommend this hotel property to everyone who is looking for quality hotel accommodation during their next visits in Bali.; …", ,Positive
24,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or185-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"After staying in a private villa for three days on the north side of Bali, decided to go for the full service option. I have stayed in LM's all over the world, this one fell a little short. Location was not that good. My morning beach walk left me feeling as I was going to get cancer from all the burning wood and trash. The water looked pretty bad, I was not going in. On the brighter side, my room was amazing, large walk-in shower, large tub. Service was up to, if not exceeding my LM expectation. You call for more water, towels, whatever, very prompt. All staff on property was there to meet your every need.", ,Positive
25,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or795-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,eshery,Date of stay: December 2014,What a mix of good and bad!,"After waiting for a long-ish time to check in (although the waiting area was very comfortable) we were then called up to check in, to find out that our room was not ready yet (this was past 3pm). They apologized and offered us lunch in their restaurant! We went down and had some burgers and sushi while we waited for our room to be ready. The room was upscale, comfortable, and quiet. They have a great pool, swim up bar, and beautiful grounds. We would definitely stay here again!",eshery wrote a review Feb 2015,Positive
26,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or195-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Rahul P,Date of stay: January 2018,Far from the madding crowd,"All the staff were very nice, helpful and welcoming. They couldn't do even for us, and we felt like family. Over our 2 weeks stay, we got to know the staff, and loved their friendliness and eagerness to make our stay as comfortable as possible. Breakfast is great, with plenty of choice, nice way to start each day. The only issue we had was a lack of hot water, but not a big issue in Bali in summer! Conveniently located to make the most of the Jimbaran village environment, with either an easy walk, or the guys driving us straight to the front doors of local facilities on the golf buggies. We even left a small bag behind, and they called us and organised a taxi to drive it to the airport, where the taxi drive came in met us, giving us our bag. Very much appreciated. Overall,; …",Rahul P wrote a review Jan 2018,Positive
27,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or905-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Pritam S,Date of stay: July 2014,Great stay,"Although im not a tourist, well i stay in bali, i spent my weekend here for 4 nights. Its very2 beautifull hotel.. my room is in Lagoon access pool and its amazing.and the staff is friendly to local (i've read the comment below that they feel the staff is more friendly to tourist instead of local) well it's not happening to me.. My dad stayed in this hotel few month earlier and he did reccomend me to stay in this hotel and i do not regret it at all. Im here with my kids 1 year old and they help me with the babycrib without being asked for.. very2 amazed with this service. Hotel is very family friendly.. my room on 1st floor so its very easy access to get to my car parking.. From the beginning the reception already offer us with late check out which is i dont see that; …",Pritam S wrote a review Jul 2014,Positive
28,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or780-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"Although we only stayed for three nights, the standard was high enough to stay longer! The bed and room were very comfortable and breakfast was ample. Staff are very friendly and attentive when serving and one waiter even invited us to meet his family! The location was ideal for a quiet stay with easy access across the road to all the beach front BBQs, serving the best fish we have ever had! Taxis and general costs at the hotel are not cheap, what you expect from a 5* hotel but be warned on check out as things do add up.", ,Positive
29,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or1130-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"amazing hotel! the services, the view, the beverage, the spacious room, everything!! although they just opened this year but there isn't a single detail missing. i was prepared for the lack of service from a hotel who just opened but it turned out i was wrong. the services here are so great. jimbaran itself is the heaven of seafood in bali where you could eat at the seashore. so when i get bored i just walked and try other restaurants around the hotel. it is a must go, especially if you are a couple on a honeymoon. heaven!! oh, and i just found out that they have videos, sharing all the interesting things that you could find in bali. so if you guys run out of idea on what to do in bali, maybe their videos can help you. XD", ,Positive
30,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or885-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"Amazing service. I went with my partner and upgraded to a suite and it was just brilliant. Extremely clean, impeccable service, they would drive us in the buggy up to the beach and back. Seafood at the beach is what this area is known for. It's in a nice and quiet area, not the party side of Bali. One thing that keeps sticking in my mind was the fact that I ordered a coffee at breakfast, and because they knew what room I was in, they went through the trouble of writing my last name on the coffee!! Just that personal touch is amazing. Excellent facilities as well. Would definitely come back. I was told this is a relatively new hotel. Only drawback was the weather was a bit cloudy because of the season but the hotel cant help that of course. They were amazing and I even signed up; …", ,Positive
31,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or315-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Freddytan508,Date of stay: May 2017,Big rooms but not really a resort,An 8 night stay with my sister and younger niece and nephew. I was a little surprised how isolated Jimbaran Bay is. Having stayed in Seminyak several times I was thinking that the area was similar. Other than the hotels and beach restaurants directly surrounding the hotel most places to eat/things to do were a cab drive away. Albeit cab fares are nominal in Bali but I just felt it was a little isolated from the 'main' areas. There was no 'walking' to anything outside the main hotel area. The beach although has had rave reviews I thought was no cleaner than the main areas of Kuta and Seminyak although much calmer and child friendly. Although still somewhat dirty and strewn with rubbish. The hotel has certainly seen better days. The rooms although I think modernised recently were; …,Freddytan508 wrote a review May 2017,Negative
32,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or610-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,10H,Date of stay: July 2015,Beautiful pool area and good kid's club,"Apart from a massive pane of glass falling out of Lobby into kids pool 1 story below, constant damp smell in room from mold in the air cons, gassing for mozzies at 6pm, daily thick smoke in the afternoon from the seafood bbqs on the beach, slippery floor by pool and in showers it was ok. I have a genuine concern that some one will get hurt or die here as this hotels construction is as unfinished and as bad as I have ever seen. The staff are amazing the pool is nice but my life is worth more that that upside. Unfortunately not worth it! Stay elsewhere and good luck to the hotel group spg as I hope this is not a reflection on your other hotels but I will not take the risk.",10H wrote a review Feb 2016,Negative
33,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or920-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Sawah77,Date of stay: June 2014,Serenity,"Arrived at the Le Meridien after staying in other parts of Bali and it was just like pure heaven! We got our room upgrade to a suit because we thought we had extra guests arriving and it was more like a pent house! Absolutely huge! The service was incredible and don't get me started on the pool &amp; gelato shop! We were welcomed by all staff on arriving and loved the fact that they were willing to drive you on a buggy even just to find an ATM! We were planning to spend a lot of time at the beach there, but loved the privacy of the hotel more! Will DEFIANTLY be back!!!",Sawah77 wrote a review Jun 2014,Positive
34,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or775-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Elizabeth M,Date of stay: April 2015,Beautiful hotel and staff,Arrived to find out that we had been upgraded from a lagoon access room to a lagoon access suite. The room was spacious and modern with great private access to the pool. All the staff we encountered we lovely and friendly. The breakfast had a concise but well executed amount of choice - complete with egg station. Close proximity to the jimbaran beach front restaurants (2 min walk). The housekeeping was a little hit and miss - there were three of us but they only ever left 2 towels and never any face washers or hand towels but that's only a small thing. We were provided with 6 bottles of free water in the room each day and more if required. Enjoyed our stay and would recommend this hotel. Note: there's a nice little Vietnamese restaurant 5 mins walk away called Saigon,Elizabeth M wrote a review Apr 2015,Positive
35,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or1140-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,NickMich,Date of stay: December 2012,Wonderful end of trip stay at new Meridien!,"Arriving at Le Meridien Bali is like being at home. The staffs at the front office had provided excellent service, especially the manager, Mr. Franklyn K. Some of the team members are new to SPG and have limited knowledge about the program. The hotel does not have beach access. However it has great rooms and lagoons around the property.",NickMich wrote a review Jan 2013,Positive
36,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or390-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,TONYL,Date of stay: February 2017,Boutique and Homely,"As a frequent travelling amassing 102 night in Marriott properties, 23 in SPG and 10 in Hilton last year I was pleased when SPG merged with Marriott to offer a wider range of properties. I thought this year I would try multiple SPG properties taking advantage of my platinum status. Unfortunately, the Le Meridian Jimbaran would be anything that I would expect out of a SPG property. At check in I was made aware that my credit card had already been charged for the 3 rooms I had booked even though they had been booked as flexible due to the nature of our business. Unfortunately, this makes it a nightmare for our company reconciliation. This is where everything went down hill. I was offered as my platinum arrival gift the choice of the bonus points or a continental breakfast.; …",TONYL wrote a review Feb 2017,Positive
37,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or1050-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"As a Starwood Platinum member; I was happily surprised by the amazing welcome at the Méridien Jimbaran. During our trip in Bali, we stayed in various cities (Jimbaran, Seminyak, Kuta, Nusa Dua, Lambok, Amed…) We enjoyed and loved our stay at Le Méridien Jimbaran for various reasons : 1- Awesome Staff, dedicated, knowledgeable and very helpful 2- Modern and spacious suite room, we were upgraded both times we stayed at the hotel, to a suite Laguna Access and the Penthouse. 3- Delightful food, ice-cream shop, Illy Café and simply the best breakfast in the hotels we stayed at. 4- The director Manager Gregory was available through-out our stay with assistance, and advice, and made sure our honeymoon was perfect, he helped also make reservations and change our hotel for; …", ,Positive
38,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or530-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"As a treat to myself for my birthday I checked my family of 5 into this hotel at the end of our stay. From the minute we arrived to the moment we left I felt like I was in a little paradise. The staff were all very helpful, the rooms were clean, spacious and comfortable. The pool was huge and plenty of seating. Nice quite location where you could just step out the backdoor and choose one of the many on the beach restaurant's for a sunset seafood dinner. Also indulged in a treatment at the Spa there and it was amazing. Would definitely stay here again.", ,Positive
39,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or995-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"As always, service staff in Bali are always genuinely warm and friendly. upon arriving the hotel, we are ferried by a golf cart buggy to the lobby area, with staff alerted prior our arrival. Nice salted pool, if you have young kids, do consider ground floor units which overlooks the pool and have direct access. Try the spa if you have time, was above average experience for my wife and I, who love trying out various spas when we travel. Jimbaran beach is located at the backdoor, so you can check out the seafood BBQ by the beach, try Menega, the most famous restaurant in the stretch. Seafood is cooked over wire using coconut husks. Only letdown was uncooked pancakes in the breakfast buffet, chef who was alerted quickly checked and remove the affected items, Small things like; …", ,Positive
40,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or670-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,mely_ray,Date of stay: October 2015,Beautiful retreat,"As frequent Bali visitors we found this smaller boutique style hotel easier to navigate than many of the larger resorts. Staff are well trained and very friendly, willing to accommodate all requests. Our room size and quality was very good although we had paid for a more spacious room. Beds and pillow were fantastic. The smaller sized property meant like many hotels there is a lot of competition for sunbeds. It did make accessing the excellent spa services easier and they are definitely a good standard. The hotel is just back from the beach, behind the seafood restaurants which is convenient if you love that style of eating, however it is not the place to stay if you enjoy walking out of your hotel for a choice of restaurant options and a good dose of Bali shopping. We had; …",mely_ray wrote a review Oct 2015,Positive
