,page url,nama-responden,date-review,title,text,date-stay,rev
18,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1195-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Biscuits77,Biscuits77 wrote a review Jun 2010,Once in a lifetime experience,"Absolutely Fantastic !! What an experience, never encountered before and worth paying that little extra to stay here rather than stay in a normal hotel and come here on a day trip Arrived by taxi, 2 hours from the airport ( the resort can arrange transfers) and greeted with a welcome drink and cool towel. Provided with an itenary of activities . Shown to our room and as soon as you step foot into the park you can feel this is going to be different - elephants are visible straight away. Great room, very clean and lovely little detailed touches to decor. You can even see the elephants from your room . By staying here you can become involved in activiites, a few of which are not available to the day tripper, and you do not clash with the day crowd either. Our elephant was due; …",Date of stay: June 2010,Positive
19,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or630-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"Absolutely fantastic experience and great value! We loved every aspect of the park and lodge, from the luxurious room to the excellent and very fairly priced restaurant and gift shop. I've already recommended it to family, I now recommend it to anyone else visiting Bali. I'll definitely be coming back next time I'm in this part of the world. Definitely the highlight of my Bali trip 😊", ,Positive
20,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or415-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Andrew R,Andrew R wrote a review Nov 2016,Two Night Honeymoon Package,Adult or children I'm sure everyone would enjoy the opportunity to interact with elephant. The place is well run and tight The elephant have a lot of liberty during the day but still attached when alone or they will start destroying the park I highly recommend it,Date of stay: September 2016,Positive
21,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or25-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Carol,Carol wrote a review Nov 2019,Elephants,"After a one and a half hours drive from Seminyak we arrived at the Park. The feel of the place was just amazing and I didn't see any acts of mistreatment to the animals.; The Mahouts (carers) each looked after their own elephant and were very quietly spoken with them and didn't stop them if they ventured off the path to find something to eat. The elephants were only kept near tourists for a short time and then taken away to rest. I loved feeding the elephants, rubbing their trunks and interacting with them. I would definitely go back and next time stay at the Lodge.",Date of stay: November 2019,Negative
22,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or50-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"After reading all the reviews and being very indecisive we decided to book a garden view for a night and make our own judgement. So glad we did! We listened to the information provided by staff and trainers and watched the video of how these beautiful beasts were rescued from appalling conditions. Our room overlooked where the elephants sleep all night so we got a 24 hour snapshot of what goes on and how they are treated. The love and passion the trainers have is cleary evident. Yes, there are compromises that need to made to keep humans and elephants safe. They are tethered however, we watched the elephants voluntarily lift there leg for the trainer, not distressed at all. The mother and baby were happy and engaging with the public. 5 babies born at the park cleary shows; …", ,Negative
23,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or90-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"After reading some reviews on here we were dubious about going but can’t recommend this place enough. It was very educational and I just wish some of the negative commentators has taken time to ask questions, read the info and talk to the staff. We saw Nigel Mason and he was more than happy to stop and chat. The large majority of these elephants have been rescued so the comments about roaming and mixing are easily explained by there being no matriarchal herd as formed in the wild, 7 males competing in the same area would not happen in the wild or in the “homes” they came from so the fact they are obviously loved by their own individual trainer and extremely well looked after are pure testament to Nigel and his team. Please don’t be put off by the negative comments,experience; …", ,Negative
24,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or450-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"After seeing elephants in the wild in Africa and Asia, I was hoping to see some captive elephants living the life in Ubud. This was not the case. They were basically chained to concrete slabs and were only taken off to go give rides to a bunch of lazy tourists. They used the large wooden chairs on their backs (which I learned is HORRIBLE for them after volunteering with elephants for 3 months) and made them walk in the same boring circle over and over again. I realize that they don't have much land to let them roam free or even be in paddocks, but my overall impression was not good. I am DEFINITELY not a PETA person or am some crazy animal activist, but animals this large shouldn't be living in such a small space. I think they are trying their best given the resources and land; …", ,Negative
25,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or275-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"All the people that work here said all the elephants are really happy, and I believed them because every time I saw them they what looked to be ""dancing"" all the time which I thought was strange, so I googled ""dancing elephants"" and I was very disappointed. These elephants are distressed, unhappy and need social interaction with their families. They say they are saving these elephants but they have already bred 5 babies that are chained up away from their mothers in the park. The only time they aren't locked up on a 1 metre chain around their foot is when they are in a elephant show or doing an elephant ride (which costs 800k rupiah for 30 mins) this place has nice food but everything is over priced. You have to pay 50k rupiah to feed the elephants also. Please do more research,; …", ,Negative
26,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or555-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,islndbaby,islndbaby wrote a review Dec 2015,GREAT DAY ACTIVITY PLAYING WITH THE ELEPHANTS!,"Although I don't like to see any animal being exploited for human entertainment, I have to say these elephants appear to be very well looked after. Our guide was very informative and he explained to us that he had been with his elephant for 8 years and it is his job to build the relationship he has with her and to feed her and to make sure she is well. All the elephants looked well. The pens they were kept in whilst not being used were mostly in the shade, they have regular time in their lake to cool off and get fed all the time, during the ride and while having pictures with people. The food at this place was very very good. Well worth paying the money. Although for what we got we didn't think it was that expensive.",Date of stay: November 2015,Negative
27,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or50-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Adriana H,Adriana H wrote a review Aug 2019,Highlight of our trip,"Although I made reservations for all elephant activities we wanted to do months prior to our arrival and received a very detailed schedule of events, once we arrived there are actually no reservations for events just long lines waiting with day visitors that are not hotel guests. While I originally booked the activities and my E-mail confirmation says it includes breakfast now that we arrived we are told breakfast is not included. Elephants are shackled in the leg. The public bathings are not clean and have a towel (not disposable and not for one time use) for all guests to use. I find this very disgusting. The reservation department confirms via E-mail, but the email is not honored. I am very disappointed.",Date of stay: August 2019,Negative
28,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or575-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"Although the elephant experience itself was indescribable, the animals themselves where so gentle and absolutely fantastic, but the price was appalling. After paying nearly $300 USD (after the exchange rate) on the $99 ""breakfast with the elephants"" for two, we met the elephants, had our buffet breakfasts, asked for a 2nd cup of coffee each which was brought to us, followed by a bill for $8.00 seconds after our first sips. Apparently, a second cup of coffee at a $150 buffet breakfast is not free. Unfortunately they had already handed out their questionnaire asking about the meal, in addition to questions such as ""did any of the staff ask for a tip and who"" and ""if you did the rafting trip, did you buy a drink from the riverbank sellers"". Not even disguising their desire to; …", ,Negative
29,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or350-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,MargaretAurora,MargaretAurora wrote a review Apr 2017,I love Elephants!,"Always a great day out with the family. We enjoyed a fantastic day out in Taro, getting to feed the elephants and ride on them through the surrounding jungle. The staff were fabulous and clearly love the elephants that they spend their life with.",Date of stay: March 2017,Positive
30,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or500-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Haydz02,Haydz02 wrote a review May 2016,Awesome Experience!,"Amazing day spending it hands-on with the elephants! We arrived in the morning and fed and washed a cute Asian elephant. It was so sweet to be that close and interactive with them. Afterwards we went swimming with the elephants, where you sit on their backs with a trainer and they play in the water. We enjoyed a continental breakfast afterwards and then went for a half hour elephant ride thru the forest. It was an amazing and beautiful experience!! I asked our elephant handler if they are treated well, and he said they are fed LOADS of fruit a day, and are taken care of by onsite veterinarians. These elephants are rescued from Singapore apparently, but I did find it distressing to see elephants with a chain around their leg. I asked about that and was told they do that to ensure; …",Date of stay: June 2016,Positive
31,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or365-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"Amazing day, we chose the breakfast and bathe session, we was staying elsewhere in Ubud and they came and picked us up, we then got to wash and swim with the elephants which was an amazing experience... feeding the elephants was also fun however by this time a lot more people had arrived so was a little crowded. Buffet breakfast provided was delicious with a large selection. Overall would massively recommend anyone to do this whether you stay at their lodge or not. It is quite pricey but it can be argued you get a lot for your money ...", ,Positive
32,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or80-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Lisa,Lisa wrote a review Jun 2019,Not a happy place for elephants,"Amazing experience washing the elephants, signs all over the park explained why they're looked after the way that they are. The keepers clearly love them & I wish I could have stayed at the lodge. There was an opportunity to buy the elephant art work & a great little restaurant. Highly recommended!",Date of stay: April 2019,Positive
33,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or580-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,19Christian74,19Christian74 wrote a review Sep 2015,Great for kids,"Amazing place with such an Amazing experience! We were lucky enough to sit on top of the magnificent animals and go for a short ride on the night safari. We travelled through the park where there were lights in the gardens... Magical!! It did start to run whilst we were on our ride and we were given umbrellas straight away from our guide. After the ride we watched a night time performance from the elephants, got to feed the baby elephants, and the had dinner! A must see whilst in Bali!!",Date of stay: August 2015,Positive
34,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or180-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,cp0wer9,cp0wer9 wrote a review Aug 2018,Amazing sanctuary for Elephants,"Amazing place, to see the elephants being treated so well and being looked after by there keepers was great. To be able to ride and hear about the elephant from there keeper was really good. Once the new area opens where the elephants can roam on the own will be even better for the park. Great restaurant and food etc too.",Date of stay: August 2018,Positive
35,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or115-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,pdd_8,pdd_8 wrote a review Mar 2019,"Happy Elephants, great park, lovely service","Amazing place. None of the elephants are tied or tethered except the bull for safety reasons, even then only 1 tie on the leg. You can tell the trainers love their animals. Wonderful to see that all these rescued elephants are doing well. Able to buy food for them and feed them all day long. Great to know every penny is going back into the elephants care. Definitely recommend.",Date of stay: March 2019,Positive
36,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or325-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Dan S,Dan S wrote a review Jun 2017,Elephant safari bathe and breakfast,"Amazing to interact with the elephants in a beautiful setting, however the treatment of the animals is sub par. Although the resort is making a respectable effort by local standards, they have a long way to go before earning the sanctuary name they've assigned themselves.",Date of stay: June 2017,Positive
37,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or710-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,robertmccub,robertmccub wrote a review Dec 2014,Elephant Safari Love,"An absolutely wonderful experience! One of the very few places in Bali that the animals are actually put first, and you can see they are well taken care of. However it is expensive to stay in the lodge, but it is defiantly worth it to have more one on one experience with the elephants!",Date of stay: December 2014,Positive
38,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1090-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,JustinTexan,JustinTexan wrote a review Mar 2012,Fun Day Trip,"An amazing experience which will never be forgotten. These elephants are extremely well looked after and loved by their handlers, each of which adore what they do. The handlers have an amazing bond with these larger than life animals. If you love elephants, then this place is somewhere you must visit whilst in Bali. You experience a range of activities which include an elephant ride, feeding and a talent show. If you can afford it, stay the night as you will experience more than that of a day visit. Hotel is fabulous and all staff are amazing. PRO'S: You will not experience anything like this anywhere else. It's truly unique. Elephants are loved and there is a wide range of activities as well as a huge gift shop containing anything to do with elephants as well as a fantastic; …",Date of stay: March 2012,Positive
39,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or465-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Thehatgirl,Thehatgirl wrote a review Aug 2016,"Absolutely amazing, experience of a lifetime!!","An amazing experience, stayed for 1 night and had an elephant safari ride, rode an elephant whilst it was swimming and even gave a baby one a scrub down in the morning. Fascinating creatures, and although they are in captivity, they have all been rescued from various situations, they are well looked after and seem really happy. The staff are great and really friendly, would definitely recommend to anyone who is going to bail.",Date of stay: August 2016,Positive
40,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1050-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,52Tracey,52Tracey wrote a review Jul 2012,Inspiring,An expensive day out but good if you have never riden an elephant. I was a little disturbed by two elephants that were looking very unhappy rocking back and forth continually whilst chained to a spot in the park. When I asked the guide what they were doing he said 'dancing!'. Certainly didn't look like dancing but I guess some of the elephants here have been saved from much worse conditions.,Date of stay: July 2012,Negative
41,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1195-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"Arriving at Denpasar mid morning, we were met at the airport by the driver who took us straight to the lodge. Despite being early, we were shown to our room straight away and given a suggested itinerary for our one day/one night stay. Our Park View room was large, clean, well equipped and overlooked the main park area where the elephants feed and sleep. It was amazing to hear the elephants trumpeting at night and to wake up to see them just feet away from our balcony. As guests at the lodge we were allowed to take part in activities not available to day visitors. We bathed the elephants in the morning and walked freely around the park before the safari park opened. We swam with the elephants and could request an elephant ride at any time. Watching the educational dvd; …", ,Positive
42,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1100-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,As a lover of elephants I could not go past visiting the park on our recent holiday! We opted for the night safari & were extremely happy. Dinner was amazing and the staff were very friendly and knowledgeable. Was great to see the elephants happy and meet and feed the baby :) Well worth the experience. Next trip hope to stay a night or two at the lodge, ,Positive
43,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1080-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Mick9d,Mick9d wrote a review Apr 2012,Experience of a lifetime!,"As an attraction this place is lovely. You can interact with the elephants and take a nice ride around the park and through the 'jungle' (amongst peoples allotments of sugar cane etc really) But as a hotel, rated as 4.5 stars here, Id say it was closer to 3 stars which is fine but for the price of the rooms i dont recommend it. I am reviewing Elephant and Safari Lodge as a hotel and place to stay, not an attraction as we certainly paid for a decent place to stay. We booked through agoda.com which gave us a great deal and we took a deluxe room with paddy view for £145 per night. When we arrived we were shown to a garden view room with no view but the walkway outside the door with ensuite shower and toilet. Compare this to our previous hotel, Komaneka at Rasa Sayang, where for; …",Date of stay: April 2012,Positive
44,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or300-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,pmhorv,pmhorv wrote a review Jul 2017,Magnificent Animals,"As an elephant lover, this was one of the best experiences of my life! Bali Adventure Tours picked us up on time from our hotel, and were very pleasant to deal. Once at the park, it was so nice to see the elephants roaming around and very much enjoying their baths, food and swimming. The elephants are clearly happy and are very playful with their trainers. It was so nice to see that the elephants are treated so well after being rescued and it is clear that the trainers love their elephants. I did not feel hurried during the day at all, and felt that I was given ample amount of time to spend with the elephants one on one as well as in a group. The breakfast that is provided is also fantastic. I cannot recommend this experience enough and can't wait to come back and stay a few; …",Date of stay: July 2017,Positive
45,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1195-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"As part of a two week Bali holiday, in which we stayed at Sanur and Nusa Dua, we also stayed at the Elephant Safari Lodge in Taro - about 12 km from Ubud. This was a great experience, especially if you love elephants. The hotel itself is first-class and the rooms are beautiful, with their elephant themes of course. The resort is set in beautifully landscaped tropical gardens, and is a cool, peaceful oasis away from the madness and humidity of Kuta and surrounds. It was a real novelty being picked up to go to dinner each night on an elephant, and the day and night safaris were enjoyable, meandering through what appeared to be the local farm areas with cows and chickens dotted throughout the jungle. The staff were friendly and helpful and the cuisine was a blend of western; …", ,Positive
46,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or465-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"As soon as we booked our trip to Bali, we knew that we wanted to interact with elephants. I'm so glad we picked the elephant safari park. We got picked up from our hotel in Seminyak early in the morning and got transported to the park. When we arrived, we immediately were moved to the elephant bathing area. What an experience!! You are able to get so close to the elephants and wash them. Later you hop on the elephant and get in the pond for a swim. The keepers are very fun and make sure you get awesome pictures. Another thing I was very pleased with was they offer warm clean showers and towels. After the shower we ate breakfast, which was included in our package. The breakfast was delicious and we ate as we watched elephants swim. This is a must when in Bali.", ,Positive
47,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or145-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,derryboy91,derryboy91 wrote a review Oct 2018,Do Not Visit Here!,"AWESOMENESS GALORE! Was there for 1 night and to my surprise was upgraded to a Parkview Room for my Birthday. It was beyond amazing having to go to sleep and wake up with an elephant right outside your balcony. This Beautiful elephant sanctuary is located about 30 minutes outside of Ubud in Taro. The room was impeccable, clean. The staff amazing. I wish I had gotten the names of the staff at reception on Oct 2nd. The Mahout for Tia the elephant, who came to pick me up for the Safari Dinner...so passionate about his job & gave me a brief history of the elephants as well as the Sanctuary itself. The Safari dinner Buffet was impressive, the staff who sang HBD to me that was so unexpected, but with so many choices the food from the buffet was very tasty and so was Breakfast in the; …",Date of stay: September 2018,Positive
48,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or205-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,DAVID H,DAVID H wrote a review May 2018,Superb setting,Awful experience We were placed in a a very noisy room near by the kitchen and service It wasn’t anything like we expected. Our complaint wasn’t even considered. Luckily we stayed in much better hotels afterwards with a great quality and price I wouldn’t recommend this hotel to stay in The elephant experience is a must do but not the hotel it self.,Date of stay: May 2018,Negative
