,Page url,nama-responden,date-review,title,date-stay,text,rev
15,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2295-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Nejlaaaaa,Nejlaaaaa wrote a review Aug 2016,Breathtaking view & amazing infinity pool,Date of stay: July 2016,"After spending several days in Seminyak it was nice to go up into the rain forest to this quiet secluded resort. Our highlights there included the huge heated swimming pool with the swim up bar and the relaxing spa. All of the staff were warm, welcoming and helpful. The breakfast buffet was huge with Balinese, Chinese, European and American selections. The only downside was that it was so far away from Ubud town where all of the shops and restaurants were located. Everything was 40 minutes away no matter where you went. This is a comfortable resort where you can relax and get away from it all!",Positive
16,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2425-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,BrinksMP,BrinksMP wrote a review Mar 2016,TRANQUILLITY AND LUXURY,Date of stay: March 2016,"After staying at Padma Legian 3yrs ago we jumped at Ubud for our 10yr Wedding Anniversary. 5 nights in the secluded resort was amazing, the facilities, pool, location, privacy and that top Padma standard made it a holiday to remember. The resort is approx. 35min from the markets, Monkey Forrest and restaurants / shops but well worth the daily shuttle service to break up resort time and soak in the local less hectic feel of Ubud. Special mention to a few staff that made our stay memorable Gus Oka at the pool bar and the crew of Eko, Slamet, Joni and Wahyu. The restaurant team with Nico greeting you every morning with a big smile and Deasy checking in regularly to ensure your experience is first class. Thanks again Padma we will be back! Highly recommended for honeymoon",Positive
17,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2380-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"All of instrument in Padma ubud resort so AMAZING the room was sweet & so comfortable , the foods delicious & the drinks so fresh , especially ""Reza power"" is my favorite !! Hehe the employees so kind and helpful , and the best from all is the View & the infinity pool that was so beautiful.. the best place i've ever visit on vacation. Thank u Padma Ubud and Mr Reza.. Jazakallah khairan katsiran.",Positive
18,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or85-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Tom,Tom wrote a review Nov 2020,The 89m infinity pool is awesome!,Date of stay: November 2020,"Amazing hotel with really good facilities. I was really surprised at how many activities they have available such as sunrise yoga, jungle trekking, archery, etc. The staff were great and very helpful. We stayed during the pandemic and the hygiene protocols were very strict without being intrusive. There's hand sanitiser in every corner, also in the room, and temperature checking on arrival and at the restaurant. Everything at check in is ""contactless"". The room was spacious and cleaned well. We ate at the pool restaurant and normal restaurant and both meals were really good, decent portion sizes and delicious. The infinity pool was insane. 89m with amazing views and it felt like we had your own pool since we were the only one's there most of the time! Definitely going to stay",Positive
19,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2310-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,damomck,damomck wrote a review Aug 2016,Heaven on Earth,Date of stay: July 2016,"AMAZING HOTEL! 100% recommend, everything is perfect. Great staff great rooms great view. What more could you want. It is abit out of Ubud but you don't need to leave the hotel ever. 100% recommend to everyone. Can't say anymore, just great!",Positive
20,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2270-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,BoeviAri,BoeviAri wrote a review Sep 2016,Perfect to start relaxing and adapting away from stress,Date of stay: September 2016,"Amazing hotel, I have travelled all around the world, from four seasons Louis XIV Paris to Hyatt Shanghai to ... For my standards I could say that this is one of the best options for hotel you could be accommodated in Ubud for a very reasonable price. Don't book too many days (5-6) tops there distance to any event is quite far (minimum 40minutes to 1,5hr) continue your travel to the south for better weather afterwards. Tip: ask for Suadyana the taxi driver of golden bird taxi company. You Will be helped very Well, there he is An excellent guide with suggestions. Tip: start your day early!!! Even when jetlagged start your day early at the pool from 8 till 10 and then have breakfast. The weather switches at 11am to very cloudy since you are on a mountain with a lot of",Positive
21,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2190-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,togsjosa,togsjosa wrote a review Dec 2016,Exceptional !!,Date of stay: November 2016,"Amazing resort! Padma Resort Ubud is my best choice to spend my wedding anniversary. I always curious about the heated infinity pool and my curiosity answered here in Padma Resort Ubud. Wifi everywhere, even in the jungle track for jogging, Great. Room was excellent. Breakfast was also satisfying. Definitely will come back again for next trip to Bali. Thank you for the hospitality during my stay in Padma Resort Ubud, I really appreciate the resort' staffs service and warm welcome.",Positive
22,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2125-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Amazing rooms and luxurious setting. Stayed here at Christmas for 5 nights. It was so relaxing! Staff were so lovely and helpful. Thanks to sekar for looking after our daughter. Can highly recommend this hotel for a quiet, relaxing time.",Positive
23,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2205-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Amazing scenery and beautiful resort the staff were ever so friendly and the infinity pool amazing , food was absolutely delicious and will definitely come back in the future perfect way to relax away from the hustle and bustle of Kuta etc",Positive
24,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2250-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,fikri30,fikri30 wrote a review Oct 2016,Perfect,Date of stay: September 2016,"Amazing view, amazing pool. staff was highly trained and friendly. this resort has all facilities that you need. i drop my 16 months old baby to the play room and they took care good of my kid perfectly for a couple hour. surely will comeback.",Positive
25,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2270-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,sdhyun,sdhyun wrote a review Sep 2016,a little bit disappointing,Date of stay: September 2016,"Amazing!!!! Only one place to stay when visiting Bali. The service,hotel, food, heated pool floor less... I would recommend this hotel/resort to anyone for the perfect get away. No crowd no dirt just peaceful and relaxing.",Positive
26,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or65-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Galalima Glamping,Galalima Glamping wrote a review Nov 2020,Beautiful place,Date of stay: November 2020,"An excellent hospitality, clean and cozy place. Very recommended for family. The animal zone really good and so fun for kids. The Spa treatment was excellent and so relaxing. The pool is amazing and so beautiful",Positive
27,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2035-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Jamara1975,Jamara1975 wrote a review Apr 2017,A slice of paradise,Date of stay: April 2017,"Arrived this morning and completely amazed by this resort. The surrounding is super, the room is beautiful, and all the staff is very nice and accommodating. Food is excellent as well. Highly recommend this place for a relaxing get away.",Positive
28,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2080-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Awesome resort, highly recommend the mixology session with Dedy. Excellent experience, you go through their garden to collect your fresh ingredients and then off to the bar. Dedy is a pro at slinging drinks and will show you the ropes. Can't beat the price either for this fun way to spend some time at the resort",Positive
29,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2275-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Wongy67,Wongy67 wrote a review Sep 2016,Padma Ubud,Date of stay: September 2016,Awesome resort. All The Staff Were so friendly and it was so peaceful this was way more than I expected. From the moment we arrived we was impressed with our choice. Plenty of resort activities to keep you amused fit and relaxed. The food was top class and breakfast had plenty of variety. The pool was a dream with its infinity edge fringing the valley with a great swim up bar with some nice cocktails all at reasonable prices. keep an eye out for happy hour. Two areas to eat one casual and relaxing as its surrounds the other a little more top class with views to impress both producing tasty quality food I would not hesitate to come back again. Thanks Padma Ubud for a memorable stay.,Positive
30,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or25-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Awesome views, awesome group, awesome tour guide.. this tour is definitely worth it!!!! We love jungle trekking on padma ubud!!! The trip is about 3 hours and we passed jungle, river.. the air was also very fresh",Positive
31,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2140-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Tomas J,Tomas J wrote a review Jan 2017,Very pleasant stay,Date of stay: December 2016,Beautiful and newly built hotel. Had a great stay there in December 2016. The pool is amazing and the staff was very friendly and helpful. Very relaxing atmosphere with the forest around the hotel and there were not many families during our stay. A bit far from central Ubud but the hotel is perfect if you plan on spending most of the time at the hotel/resort.,Positive
32,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2105-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,LindieSA,LindieSA wrote a review Jan 2017,Amazing!!!!,Date of stay: January 2017,"Beautiful hotel, amazing pool, amazing food and best staff. Our family has traveled a lot, this is a true 5 star resort. We have a 4 year old son, kids club is a plus here. It's located in a middle of a forest, the view is very nice",Positive
33,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or30-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Riny W,Riny W wrote a review Dec 2020,"""Will be visit here again""",Date of stay: December 2020,"Beautiful place and very heplfull staff. Very hygienic 🤗😘❤ hello if u like to running, this hotel have jogging track 😍❤❤❤ or you can rent for bicycle too N my kiddios have a new experience at garden n mini farm 🤗🙏🙏 Love it this hotel 😍❤❤❤🤗🤗",Positive
34,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2225-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Elaine A,Elaine A wrote a review Nov 2016,Fabulous place to unwind,Date of stay: October 2016,"Beautiful resort in the middle of the jungle !! Awesome infinity pool. We really recommend the spa, which will offer you a fantastic relaxing balinese spa experience. However service at the front desk can be HIGHLY improved.",Positive
35,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2380-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Natrdogg,Natrdogg wrote a review Jun 2016,Beautiful resort,Date of stay: May 2016,"Beautiful resort. However there are a couple things I wish I knew prior to booking the hotel. Let's start with the good things. The resort is beautiful. The grounds are amazing and the staff are even better!!! The hotel grounds are very clean and the staff are constantly cleaning it. The breakfast was some of the best meal we had. There was so many choices. It was amazing. Now on to the others. The hotel is very far from ubud central. It's about 45 minutes. There are only 4 shuttles running in a day!! (Should be constantly running) the shuttles only run in the times that the city is crowded, which means you can't beat the crowds and arrive to ubud central in the morning. To get a hotel shuttle at your own time was 250 k rupiah (not sure if it's per person or per car). Taxi",Positive
36,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2360-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Beautiful, quiet and peaceful resort. Ideal for relaxation and escaping the hustle of the main tourist district. Fair way out of Ubud, but with a free shuttle bus, getting into town is easy. Wouldn't expect anything less from a Padma resort.",Positive
37,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Prasti Prabandari,Prasti Prabandari wrote a review Jan 27,The best experience in ubud,Date of stay: January 2021,"Been trying several 5 stars hotels in ubud but padma the best. Staffs are very warm and welcome, the pool is ah-ma-zing, activitynya banyak dan terutama yang paling bikin menyenangkan di temenin guide bli Dade selama main sepeda ke rumah penduduk sekitaran hotel dan diajarin golf, he is funny, helpful dan terutama pinter ngambil foto dan video (penting!)👍🏼 definitely will comeback to padma ubud🥰",Positive
38,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Prasti Prabandari,Prasti Prabandari wrote a review Jan 27,The best experience in ubud,Date of stay: January 2021,"Been trying several 5 stars hotels in ubud but padma the best. Staffs are very warm and welcome, the pool is ah-ma-zing, activitynya banyak dan terutama yang paling bikin menyenangkan di temenin guide bli Dade selama main sepeda ke rumah penduduk sekitaran hotel dan diajarin golf, he is funny, helpful dan terutama pinter ngambil foto dan video (penting!)👍🏼 definitely will comeback to padma ubud🥰",Positive
39,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2275-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Jeremy J,Jeremy J wrote a review Sep 2016,Amazing place,Date of stay: September 2016,"Before we got to Padma Resort Ubud, we received an email requesting pillow preferences and food allergy information. That was the beginning of our amazing stay. The rooms and resort facilities are first class. The staff a very attentive & go above and beyond for their guests. It was all about unwinding and taking in the beautiful atmosphere. So if you want some ""me time"" or ""couple time"", put this place on top of your list.",Positive
40,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2050-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,abbas_razi,abbas_razi wrote a review Mar 2017,Very good hotel,Date of stay: March 2017,"Best hotel i has visit for my family holiday,all staf are very kind ,all is here amazing,room, foods, service, and also the facillity ,big thanks to mr.klinsman and mr.owen receptionist,they are very amazing and helpfull and very kind ,sure we will be back in the next holiday!",Positive
41,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or65-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Vita,Vita wrote a review Nov 2020,Cozy and Relax at Padma,Date of stay: November 2020,"Best hotel in Ubud, infinity pool with best nature view, nice club lounge and cozy spent time with my husband. Also we enjoy our food at Puhu Restaurant and dining room service. Will stay at Padma again for our next trip.",Positive
42,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2035-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Aadu A,Aadu A wrote a review Apr 2017,Best hotel I have ever stayed at. Period.,Date of stay: March 2017,"Bit pricey? Yes. Bit far from everything? Yes. Then again - if you want to escape crowds and have some quality time in peace and quiet - this is the place. Heated infinity pool overlooking the jungle beats even 'unbeatable' Padma Legian pool. Rooms are even better than those in Legian, breakfast on the other hand is better in Legian. Bicycle trip to neighboring village was very nice. Moral of the story - probably the best hotel I have ever stayed at. And yes - I have been to MANY hotels :)",Positive
43,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2355-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,cindy o,cindy o wrote a review Jul 2016,Beautiful!,Date of stay: June 2016,"Came with wife and 2 kids for a family vacay to Ubud: 1. Chose Padma Ubud because I wanted to try this fairly new hotel. 2. For you looking accomodation in Ubud, please beware that their name is MISLEADING. This is nowhere close to Ubud (center), perhaps 35-40min. 3. The compound is absolutely breathtaking, with up til 9pm heated infinity main pool & swim up bar, jacuzzi, bonfire spot. Plus find the hidden pool for couples. Definitely the highlight of our trip. They also have Kids club with own pool, and jogging track leading to small river some 2KM down to the valley (explained during checkin, but didn't do it). 4. Booked the basic Premier Room, but it was huge, big bathroom with separate tub and rainshower, King Bed, and balcony with daybed. Gorgeous and luxurious with",Positive
44,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2180-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Comfortable and well designed rooms, with a good view. Breakfast spread was great and the view at the restaurant is divine. The pool is one of the best in Ubud - water is comfortable for a swim and the view from the infinity pool is awesome. The duty managers, Clement and Ari, provided good service and ensured that all our needs were met. Kudos to the team, and we look forward to staying at Padma Ubud again!",Positive
45,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2340-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Explore Shaw,Explore Shaw wrote a review Jul 2016,Absolutely Beautiful,Date of stay: February 2016,"Coming to this resort and the Ubud area was an impromptu change due to the overwhelming business of Seminyak. In short, we loved it here! And it was the relaxing, quality end to a holiday that our family needed. The rooms and facilities were great. The only recommendation I would make is that it could do with one more high end dining option. But in saying this there are plenty of good restaurants in Ubud that can be accessed and with babysitting and drivers being available, this was an option we ran with in the end. And I'd happily do this again! The staff went above and beyond to ensure our stay was of a high standard and were very attentive to our needs. We don't often visit resorts more than once as we generally like to mix things up a bit, but I can assure you that in",Positive
46,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2400-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Kylie L,Kylie L wrote a review Apr 2016,Heaven in Ubud,Date of stay: March 2016,"Definitely worth booking. Staff amazing, always ready to assist you & extremely friendly. Room was beautiful from the private balcony to the massive bathroom. Not close to anything so if you are looking at just relaxing then this is the place for you. Shuttle buses to & from Ubud makes it easy to explore the area but it's a 40 min drive. Infinity pool is just beautiful as is the serenity. Time to relax then book here.",Positive
47,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2055-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,holidaybookerreview,holidaybookerreview wrote a review Mar 2017,Fantastic pool and all round hotel,Date of stay: March 2017,"Delighted at the wonderful huge pool and hot jacuzzi with powerful bubbling. Food was great quality and bonus to have inclusive afternoon tea every day and also a free set dinner and lunch with our package. Good variety of western and eastern dishes, all to high standard. The gardens and walkway around the hillside and gorge were also great additions. The resort is very well maintained and a tranquil haven in the hills. Perfect place to relax.",Positive
48,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2420-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Don't be dissuaded from staying here because it's in bucolic Payangan rather than in the middle of traffic-clogged Ubud. For those who require their fix of Ubud's charms, it's only 35-40 minutes' away by the resort's complimentary shuttle. The resort itself is beautiful. A perfect opportunity to (5 star) commune with nature. There's genuine, warm hospitality from staff and attention to detail prevailed from first online inquiry to throughout the stay. Great value and good for the soul.",Positive
49,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2295-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,,,,,"Driving to Padma Resort, in the dark, was a bit scary at first. We saw so many ""hotels"" on the drive up that were exactly what we WERE NOT looking for. It was extremely far from the airport (2 hours kinda far) which was unexpected as the hotel calls itself Padma Ubud. PSA - this resort is not in Ubud, it is in Payangan (approx an 1 from Ubud). I mean, we are all for the Balinese ""experience"" but when you book a place online and see pictures, you have expectations and we wanted them met. Welp. All our prejudgments were immediately knocked to the floor. The resort is gated, and the drive in (after the gates) is luxurious. We loved every... single... bit of our stay and couldn't stop going on about it. Being avid travellers, we said over and over again that this is one of (if not",Negative
