,page url,date-stay,date-post,nama-responden,text,title,rev
13,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1170-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: June 2008,romance_finder wrote a review May 2009,romance_finder,"After staying a few nights close to the airport at the Bali Ritz Carlton, we traveled to other islands and then, back in Bali, stayed at the VICEROY resort. Anybody who has known Bali for a couple of decades knows that there remain very few nice spots. Bali has been overbuilt in most parts of the island, and there are few beautiful places left. The Viceroy is such a place and in itself worth the trip, as few resorts in the world are. EXCELLENCE is the word that comes to mind. The owner is a very friendly Austrian married to a lady from Indonesia. Together, father and son own and manage a resort that strives to provide the best in accommodations and service. The food is spectacular, the views of the valley unforgettable. The individual pool inside the villas is a huge; …",Unsurpassed luxury &amp; service,Positive
14,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1010-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"After staying at the Viceroy in Ubud there would only be one word I could use to describe it. ""Fantastic"". Upon check in, we were greeted with friendly, well spoken staff who gave my wife and I leis made from frangipanis and a pleasant iced tea as a welcome drink. We were checked in with zero fuss and taken to our room by electric buggy. Our porter clearly explained the layout of the grounds on the way to our room as well as how everything worked in our room. We stayed in a Deluxe Terrace Villa (room 15), note if you are booking a Deluxe Terrace Villa, room 15 &amp; 16 have completely unobstructed views of the gorge and river below. The room is above 5 star, extremely clean, very luxurious styled with a Balinese theme. It has a high thatched ceiling, ducted air; …", ,Positive
15,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or120-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: April 2019,Amr Abou Hussein wrote a review Apr 2019,Amr Abou Hussein,"Amazing place. Super nice staff. Villas are huge, and you have your own private terrace with pool and a great view!!!! We went there on our honeymoon and they filled our bathtub with flowers and roses as a surprise for the last night. Hotel provides free scooter for travelling around Ubud, and free shuttle to and from town centre. This was definitely the highlight of our trip!",This is where dreams are made of...,Positive
16,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or170-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: November 2018,Vinh wrote a review Nov 2018,Vinh,"Amazing. The location is wonderful. You think your in the jungle with the views. The pool overlooks the jungle. The rooms are great. We did not have any problem with any insects,or mossies!! The staff are the most friendly helpful and cannot do enough for you. The restaurant is a must. The breakfast can last you all day and the evening meal is exceptional.",Beautiful resort in Ubud,Positive
17,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or60-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: August 2019,Zenji &amp; Kelly Ingham wrote a review Aug 2019,Zenji &amp; Kelly Ingham,An amazing few days. The setting is truly beautiful and the level of service is second to none. The staff there literally could not do enough for you. There were a couple of small hiccups in our stay but management went above and beyond to ensure everything was resolved. Wouldn’t hesitate to recommend if looking for perfection.,Honeymoon in Heaven,Positive
18,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or230-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"An excellent hotel. Wonderful staff who are extremely hard working people. We are leaving today and we loved our 1 week stay there. Only comments I have which are not negative by any means. Perhaps you can evaluate if it’s worth your while to waive mini bar fees and breakfast delivery fee. I believe most of us who stay there will not “abuse” the mini bar, we only consumed 2 beer there in one week. I think by providing these things complementary are becoming a trend in smaller luxury resorts and I think it will raise your standards. Well done!", ,Positive
19,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or980-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"An imaculate and beautiful collection of villas with the most attentive, kind and polite staff i have come across anywhere. We went for our honeymoon and they made us feel special from start to end. An incredible restaurant and bar to match the quality of the hotel. Although not in everyones budget for a holiday, if you are looking for that special getaway nestled on the side of the valley overlooking the beautiful forrest, there isn't a place i would recommend more highly. A massive thank you to all the staff that looked after us for our short stay there. We will be back for sure sometime soon.", ,Positive
20,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or210-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: July 2018,monjurysarkar wrote a review Aug 2018,monjurysarkar,"and I say The Price is really annoyed but beside that all experience that i got there, is really amazing, beautiful view, you can see many amazing place there,, very very friendly staff, it so beautiful place to visit.",Excellent hotel,Positive
21,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or160-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: November 2018,ChrisBrito wrote a review Nov 2018,ChrisBrito,Another one ticked off the bucket list. We stayed for 3 nights but wish it was longer. The hotel very kindly upgraded us to the Viceroy Villa which was just wow!. Service was amazing all through the stay. No concerns or complaints about the hotel at all. There is some construction happening at the moment but the noise was not intrusive even though we were almost next door. The staff were all wonderful we felt very spoilt and a little sad when we left Hope to go back again soon,Exceeded All Expectations,Negative
22,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or160-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"As a travel blogger having traveled all around the world, and stayed at over 300 hotels I don't say things like this very often but ""Wow!"" I can easily say that Viceroy is the best hotel I've ever stayed at in the the world so far. I stayed at the Deluxe Terrace Pool Villa which is almost the size of my apartment in LA.:) It was huge and super comfy with a double king bed, a bathtub, a private pool with the best Ubud views and a cabana. The food was also amazing. The hotel also has a shuttle service to the center of Ubud which is very convenient when you feel like going out. I can't recommend Viceroy highly enough. I'm sooo looking forward to going back over there.", ,Positive
23,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or995-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: May 2012,Peter F wrote a review Dec 2012,Peter F,"As you pass the helipad you're greeted by a wide open lobby and smiling faces. Then you can call for a golf cart and driver that is happy to take you to your room. And this is where privacy &amp; luxury meet. Your own private beautifully landscaped courtyard. A bedroom surrounded by glass on three sides opens to your courtyard. The bed is a grandiose oversized king fit for a fairy tale. The room is extremely large and spacious. Looking out at your own luscious courtyard with personal infinity pool is calming. Little hidden nooks of relaxation within the courtyard are everywhere. The entire bathroom area is outside, but still under the courtyard half covered roof. The actual toilet area looks through a glass area into a private atrium. The octagonal (big enough for 4 ppl) shower with; …",Remote Paradise in Bali,Positive
24,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or85-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Bali has been overtaken by sleek new, modern hotels, so it felt almost homely to land at the Viceroy in Ubud, set in the lush forest with rice field surrounds. The hotel is about 5-10 mins drive from the main center, which isn't a problem because the hotel car will drop off and collect from a couple of central points. Check in was fine, if not a little drawn out. The hotel room was fairly magnificent. So large, the bed was as wide as two beds long. The bathroom could shower an elephant. The private patio and heated pool was stunning and probably the highlight of the whole resort. It's exceptionally private and looks out to a view of endless green. It is a bit noisy, if you like to sleep. The overpowered Bose sound systems are risky and we were awake around mid night when; …", ,Positive
25,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or95-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: April 2019,Stewart S wrote a review May 2019,Stewart S,"Beautiful boutique hotel with wonderful staff and outstanding service. Suites are large and private and lack nothing. Food is wonderful. Quiet and relaxing. Five minutes from central Ubud, but fells like a million miles. Car service is always available to take you to town or restaurants.",Amazing all round!,Positive
26,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or55-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: September 2019,Fawnn B wrote a review Sep 2019,Fawnn B,Beautiful resort in an incredible and natural setting in a Balinese jungle ravine. Service impeccable from absolutely all the staff to provide the very highest quality of hospitality. CasCades restaurant and bar offered great food and refreshments - don’t miss breakfast! Deluxe Terrace Pool Villa was outstanding in all respects and left wanting for nothing. The spa was outstanding and simply unrivalled. Whilst the on site Apertif restaurant is expecting Michelin stars for sure. Very highly recommended for couples who are seeking the very best to celebrate a special moment together. Thank you to all at the Viceroy Bali.,Perfection,Positive
27,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or205-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: August 2018,Robyn P wrote a review Aug 2018,Robyn P,Beautiful room and serene location. Excellent and I mean EXCELLENT service So romantic and I can't say anything bad about this hotel. We stayed here for 3 nights and had an amazing time. I highly recommend this resort to anyone who is visiting the Ubud area.,Amazing Experience,Positive
28,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1170-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Beautiful, quiet and wonderful food. Felt like I had the resort to myself - will go there again with my family!", ,Positive
29,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1070-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Best SLH I've visited so far - everything has been thought of to ensure a perfect stay. It feels like you are alone in the hotel at all times, except the owner told us the hotel was full - the staff is always around but they are so discreet that the only time you'll see them is when they bring you a complimentary drink because they noticed you've been around the pool for more than an hour. Viceroy Bali sets the standard I now come to expect from all self-proclaimed luxury hotels around the world.", ,Positive
30,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1120-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Both my friend and I went for a two night stay at the Viceroy and wished we could stay for another two weeks! The location is great and the food is stupendous. The staff is helpful and happy, always obliging. In fact I had an unexpected party and the hotel supplied the utensils and even picked up the food for us! The owner, Otto is great fun and a wonderful host. He took us around his property and made sure we felt welcome. Only one issue- the rooms are really not meant for friends who have problems baring their all i.e. going nude. There is no privacy afforded to those that need to change or shower in private unless you kick the other person out of the room or ask them to wear a blindfold. We stayed in the Garden Villa and all of the villas come with a private dipping pool; …", ,Positive
31,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1020-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: July 2012,martin f wrote a review Jul 2012,martin f,"Botom line heaven! Ubud is the Florence of Italy. It's a mixture of grace, gastronomy, talassotherapy ; spiritualism and art of life! The Viceroy represents this very well. Thanks you!",Amazing setting and views and so relaxing,Positive
32,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or35-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: November 2019,clm81611 wrote a review Nov 2019,clm81611,"Can quite easily say that this is by the far the best hotel my new wife and I have ever stayed in. We have just got back from visiting Bali on our honeymoon where we stayed at 3 different hotels during our trip. The Viceroy topped them all, including every other hotel we have ever stayed in, not just Bali! The accommodation is outstanding, the setting/surroundings is picture perfect, the food is out of this world and all of this is only further enhanced by the amazingly friendly staff and impeccable service. I cannot talk highly enough of this hotel and can only say that you will not be disappointed should you be fortunate enough to stay here. My new wife and I truly count ourselves lucky that we had the opportunity to experience 3 nights here and only wish we could have stayed; …",Probably the best hotel in the world,Positive
33,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or55-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Can’t rave about this hotel enough. From the moment we arrived, we were greeted warmly with fresh flower lei’s. Because of our status with Hyatt, we were upgraded to a Deluxe Terrace Villa. Our room wasn’t quite ready, so we were seated at the bar with a delicious welcome drink. Our room was ready a short time after. It was stunning. Impeccably clean and over the top beautiful. The heated infinity pool really took it over the top. We used the private shuttle service into town. Our drivers were very friendly and easy to talk to. After a great night’s sleep, we went to breakfast. Everything was absolutely delicious. By far the best breakfast of our entire trip. Staff was friendly, professional and could not do enough for you. Viceroy Bali got every detail right, from top to; …", ,Positive
34,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or995-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Can't even begin to tell how great this place was! We had the deluxe terrace villa and it was stunning, breathtaking and luxurios. The restaurant food was the best we ate in Bali! The service was prestigious and you couldn't ask for better! Will be back here for sure! Wish it was a little cheaper but well worth it!", ,Positive
35,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1010-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Can't say anymore positives, read all the perfect reviews from all the past guests then times 10+, the best part of the hotel is the owner who walks the property constantly and makes sure everything is perfect. Talks to every guest and even take pictures for them, my kids enjoyed talking with him, and the perfection of the property and staff reflects how he loves this property, if you visit Bali, you must stay here, my whole family fell in love with this place. Oh, I cannot close this review without mentioning the staff, again perfection.", ,Positive
36,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or5-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: January 2021,bellacalypso wrote a review Jan 2021,bellacalypso,"Celebrated my wife's birthday in the Viceroy Ubud during a short stay (3 days) in January. The room, a Deluxe Terrace room, was quite luxurious and extremely tastefully decorated. With private pool, a charming private ""Bale"" with breathtaking jungle views and an open spacious bathroom. The Cascade restaurant, where we enjoyed a la carte breakfast and delicious food during lunch is a pleasure and so is - of course- the well known Restaurant Apératif for diner ( a must!). The staff is extremely warm and the atmosphere and ambiance in general is soothing and friendly.",A welcome retreat in paradise,Positive
37,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1030-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: May 2012,ExpatTravellers wrote a review Jun 2012,ExpatTravellers,Don't be fooled by fewer reviews. This Hotel is small and very professionally run. Can't recommend highly enough,Beautiful Spa Hotel in Ubud,Negative
38,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1125-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: July 2010,viking011 wrote a review Jul 2010,viking011,"During a trip to Bali earlier this year, a family friend surprised us with a one-night stay here. I have stayed in a lot of top tier hotels during my business trips during my working days, and this place now joins the list. I didn’t expect to have a private pool in the villa, which was a surprise. The shower and huge bath tub are separate so that was nice too. Breakfast is served “any time before lunch” and we could have it in the villa if we didn’t want to go to the restaurant. We really liked the mini coffee machine in the room, like those you see in the bar. This is not something you see often in other five-star hotels. There was also a mini chiller that had non-alcoholic drinks in cans and small packets of milk. The family who owns and manages the hotel were always around; …",BE CAREFUL!! RESORT WILL SCAM YOU.,Positive
39,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1080-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: June 2011,writesitedubai wrote a review Jun 2011,writesitedubai,Enjoyed a great stay here and the room was stunning. The service and pleasantness of the staff was top notch. Anyone wishing to stay in Ubud would find it hard to find a better hotel. We will be back!,"Stunning resort, best coffee in Bali, awesome DVD collection",Positive
40,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or145-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: December 2018,whyshyme wrote a review Jan 2019,whyshyme,"Every other review has the long write ups with all the positives so I will write a short one instead. The privacy, the views, the immaculate rooms, the service and best staff, hands down the best food in Ubud (all from room service!), the concierge... Everything is perfect. You can't stay anywhere else. Don't stay anywhere else! Thank you for a wonderful trip",Tropical Perfection - A Stay To Remember,Positive
41,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or960-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: June 2013,AomFred wrote a review Jul 2013,AomFred,"Everything about the Viceroy is stylish! It is built on a ridge overlooking a river valley covered with rainforest, with glimpses of rice fields in the distance. There are many superlatives for this resort: friendly, attentive service; very good food; a genuine interest in the guests from management and staff. The first impression is of the layout of the buildings on the site – the architecture and the decoration of the public spaces and the rooms are of a much higher standard than typically encountered throughout Asia. The room we had was spacious, beautifully appointed and with its own private infinity-style swimming pool overlooking the river valley. Cascades restaurant was excellent, with a wide range of European and Indonesian dishes. The Viceroy is a smallish hotel; …",Top resort,Positive
42,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or235-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: November 2017,Ralpo Stankic wrote a review Jul 2018,Ralpo Stankic,"Everything exceptional, one of the breathtaking hotel views, staff extremely helpful and friendly, privacy and room view is perfect,amazing food, amazing hospitality me and my husband loved every single second",Divine and sublime,Positive
43,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or55-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: September 2019,Jean-Claude D wrote a review Sep 2019,Jean-Claude D,"Everything is perfect at the Viceroy. Honestly it is incredible, food - amazing, rooms - amazing, staff - amazing. If you get the chance to stay at this beautiful hotel you will love it! All of the room types are great, the lead in room is just as spacious as the deluxe - but the infinity pool in the deluxe room really does make it super special. I couldn't rave about this hotel enough in all honesty - perfection.",The best hotel we have ever done,Positive
44,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or220-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: August 2018,Pioneer792531 wrote a review Aug 2018,Pioneer792531,"Everything was just as it should be - great villas, nice pools, great views. Combine it with excellent food and with nice people around you and you are in the perfect place:). Its nice even if its raining (its possible to heat the pools)",Buffett meal,Positive
45,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or145-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Exquisite would be the word to describe this resort. The location is stunning, the deluxury terrace villa is just to die for and the equipments (fitness center, pool, dvd library...) are enough to stay there forever and never go out. The quality and culinary knowledge of their Cascades Restaurant cuisine (where i tried the breakfast and lunch) are such delicatessens that you are almost ashamed to eat it and destroy its artistic and unique presentation. Please do not hesitate to accord you a gift with an experience at their Aperitif restaurant. The diner there deserve as much Michelin stars as there are on this planet. And please: if you book here, prepare yourself: you will be treated as a worldwide celebrity by each single person of the star of the hotel. And THAT is simply; …", ,Positive
46,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or970-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: June 2013,Cliff K wrote a review Jun 2013,Cliff K,"Firstly, I'd like to start with the staff. This is a wonderful hotel in its design, luxuriousness and many other aspects but it wouldn't be half the hotel it is if it weren't for their staff and I hope the owners know, respect and reward this. It is exceptionally rare that having nice staff goes beyond a small bonus but the service and friendliness from the Viceroy staff is second to none. In particular, Catur (or ""Chess""), one of the drivers deserves special recognition. Always going above and beyond and one of life's good guys - he made our holiday at the Viceroy. Also very special was Agung, our waiter at Cascades restaurant. Friendly, funny, generous, knowledgeable.... Anyway, onto the hotel.... It is wonderful. We stayed in a 1 bed pool villa (room 15). We arrived by; …",The beauty of the brochure photos are real!,Positive
47,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1005-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"For the second time this year I visited the Viceroy, in May with a girlfriend, and this time with my husband. We had a Garden Villa which was luxurious to say the least with all amenities you would wish. As yet again, the staff were very accommodating and respectful and the meals at Cascades were exceptional. This time we had High Tea which was extremely adequate and just enough for us before another delicious evening meal. Another massage was in order , which was enjoyed by both of us. The Hotel has such a calming and tranquil ambience, that we almost did nothing except curl up with some good books, enjoying our restful and relaxing surroundings. Will be back yet again,not even bothering to seek out other hotels.", ,Positive
